Id,CAS,SMILES,Status,Experimental value,Predicted value,NumValenceElectrons,qed,TPSA,MolMR,BalabanJ,BertzCT,MolWt,MolLogP
16,100-25-4,O=[N+]([O-])c1ccc(cc1)[N+](=O)[O-],Training,1,1,62,0.494119263,86.28,39.7508,3.006149834,285.8248997,168.108,1.503
17,10026-04-7,Cl[Si](Cl)(Cl)Cl,Training,0,1,32,0.386228879,0,29.166,3.023715784,19.11941548,169.898,2.3772
18,100-27-6,O=[N+]([O-])c1ccc(cc1)CCO,Training,1,1,64,0.541747527,63.37,43.8862,2.780862289,268.1363913,167.164,1.1296
19,100288-36-6,O=CC1=CC(C)C2CC(C)(C)CC2(C(O)C1(C=O)),Training,0,1,100,0.762498314,54.37,68.8668,2.385088422,383.1999526,250.338,1.9898
20,100-29-8,O=[N+]([O-])c1ccc(OCC)cc1,Training,1,1,64,0.510596335,52.37,44.2654,2.780862289,268.1363913,167.164,1.9935
21,100-32-3,O=[N+]([O-])c1ccc(cc1)SSc2ccc(cc2)[N+](=O)[O-],Training,1,1,102,0.464675616,86.28,77.9068,1.973886716,571.4105114,308.34,4.3024
22,100325-51-7,O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))c3ccncc3)CC,Training,0,1,122,0.800981009,72.19,83.9883,2.479739625,1014.00477,330.29,3.0598
23,100-37-8,OCCN(CC)CC,Training,0,0,50,0.572956529,23.47,34.8738,3.074373412,43.7931939,117.192,0.3205
24,100-39-0,c1ccc(cc1)CBr,Training,1,0,42,0.569324629,0,39.073,2.832085835,145.7328145,171.037,2.5815
25,100-41-4,c1ccc(cc1)CC,Training,0,0,42,0.514757822,0,35.82,2.832085835,141.3842989,106.168,2.249
26,100-43-6,n1ccc(C=C)cc1,Training,0,0,40,0.529593334,12.89,34.328,2.991046915,167.001517,105.14,1.7246
27,100-44-7,c1ccc(cc1)CCl,Training,1,0,42,0.507328741,0,35.999,2.832085835,145.7328145,126.586,2.4254
28,100-47-0,N#Cc1ccccc1,Training,0,0,38,0.48844457,23.79,31.157,3.049388908,195.3768526,103.124,1.55828
29,100490-36-6,O=C(O)C1=CN(c2nc(c(F)cc2(C1(=O)))N3CCC(N)C3)c4ccc(F)cc4(F),Training,1,1,150,0.692919445,101.45,98.9787,2.05127,1211.504125,404.348,2.0386
30,100-51-6,OCc1ccccc1,Training,0,0,42,0.572343612,20.23,32.3648,2.832085835,145.7328145,108.14,1.1789
31,100527-20-6,O=[N+]([O-])c2ccc3ccc1ccc(cc1c3(c2))[N+](=O)[O-],Training,1,1,98,0.401423892,86.28,74.7628,2.414427913,800.8065901,268.228,3.8094
32,100-53-8,c1ccc(cc1)CS,Training,0,0,42,0.544564361,0,39.132,2.832085835,145.7328145,124.208,2.1164
33,100593-23-5,O=Nc1ccc2ccc3ccc(c4ccc1c2c34)[N+](=O)[O-],Training,1,1,100,0.226268905,72.57,82.2554,2.358747851,1039.910616,276.251,4.8901
34,10061-01-5,C(=CCl)CCl,Training,1,1,30,0.453516017,0,25.713,2.622415808,31.87430298,110.971,1.9777
35,100-61-8,c1ccc(cc1)NC,Training,0,0,42,0.575903194,12.03,35.9887,2.832085835,145.7328145,107.156,1.7283
36,100-63-0,NNc1ccccc1,Training,1,1,42,0.415302623,38.05,34.2521,2.832085835,147.8745239,108.144,0.9722
37,100-64-1,ON=C1CCCCC1,Training,1,0,46,0.37666302,32.59,32.3065,2.331875649,90.70165767,113.16,1.7807
38,100-65-2,ONc1ccccc1,Training,1,1,42,0.535273156,32.26,31.8512,2.832085835,149.8745239,109.128,1.4877
39,100690-33-3,O=Nc1ccc(OCCCCC)cc1,Training,1,1,76,0.510541782,38.66,56.917,2.322675903,269.1209499,193.246,3.6535
40,1007-28-9,n1c(nc(nc1NCC)Cl)N,Training,0,0,60,0.682819978,76.72,43.4131,2.89180261,230.378135,173.607,0.539
41,1007-36-9,O=C(Nc1ccccc1)NC,Training,0,0,58,0.624451172,41.13,44.5204,2.579302292,233.1071909,150.181,1.4379
42,100-74-3,O1CCN(CC)CC1,Training,1,0,48,0.488308161,12.47,32.933,2.125016255,59.54887502,115.176,0.3385
43,100-75-4,O=NN1CCCCC1,Training,1,1,46,0.478914789,32.67,31.219,2.216657972,78.49785514,114.148,1.1537
44,100757-60-6,c1ccc2c(c1)cc3ccc4ccc(c5ccc2c3c45)CCl,Training,0,1,104,0.188809818,0,97.209,2.157560592,1154.348059,300.788,6.476
45,100772-18-7,O=C(O)CCC(C)C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C)),Training,0,0,142,0.762766302,57.53,102.2476,1.54741326,696.6933881,356.506,5.3654
46,100850-37-1,O=C(NN)CN(c1ccc2ccccc2(c1))C,Training,0,1,88,0.473126187,58.36,69.5481,2.26351796,538.9305424,229.283,1.2659
47,10087-89-5,O=C(OC(C#C)(c1ccccc1)c2ccccc2)NC3CCCCC3,Training,1,0,128,0.829052559,38.33,98.9867,1.887695856,688.127466,333.431,4.6223
48,10088-95-6,O=C1OC(C=CC)=CC=2OC(C)C(O)C(=O)C1=2,Training,0,1,90,0.786593164,76.74,60.1133,2.604041356,540.3172369,236.223,0.9974
49,100924-64-9,O=S(=O)(O)OCc4cc1ccccc1c3ccc2ccccc2c34,Training,1,1,120,0.442202181,63.6,95.2976,2.112255161,1180.031184,338.384,4.4656
50,10094-45-8,O=C(NCCCCCCCCCCCCCCCCCC)CCCCCCCCCCCC=CCCCCCCCC,Training,0,0,250,0.057123725,29.1,190.4757,3.175150945,527.73156,590.078,13.962
51,100-97-0,N12(CN3CN(C1)CN(C2)C3),Training,1,1,56,0.426761258,12.96,36.558,1.897366596,101.297481,140.19,-1.0198
52,101-02-0,O(c1ccccc1)P(Oc2ccccc2)Oc3ccccc3,Training,0,0,110,0.56653707,27.69,88.13,1.753515631,575.805161,310.289,5.4503
53,101021-43-6,c1ccc5c(c1)ccc4[nH]c3ccc2cc(ccc2c3c45)C,Training,1,1,104,0.361554386,15.79,95.5537,2.133348168,1178.277835,281.358,5.93592
54,101043-65-6,O=Nc1ccc2ccc4c(ccc3ccc1c2c34)[N+](=O)[O-],Training,1,1,100,0.226268905,72.57,82.2554,2.356950623,1039.910616,276.251,4.8901
55,1010-93-1,O=C(O)Cn1c(ncc1[N+](=O)[O-])C,Training,1,1,70,0.534678596,98.26,41.2542,3.082004255,356.7613794,185.139,0.18432
56,101126-65-2,O=[N+]([O-])c2c(c1Oc3ccc(c(c3(Oc1c(c2Cl)Cl))Cl)Cl)Cl,Training,1,0,114,0.256707436,61.6,84.7364,2.27219251,839.2419329,401.416,6.7598
57,101126-67-4,O=[N+]([O-])c2c(cc1Oc3cc(c(cc3(Oc1c2Cl))Cl)Cl)Cl,Training,0,1,108,0.384858282,61.6,79.7264,2.178138955,793.557386,366.971,6.1064
58,101-14-4,Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl,Training,1,0,88,0.813984512,52.04,74.5348,2.249182293,503.6108804,267.159,3.7486
59,101-18-8,Oc1cccc(c1)Nc2ccccc2,Training,0,0,70,0.752889822,32.26,57.8315,2.193049222,411.6767229,185.226,3.1358
60,101-20-2,O=C(Nc1ccc(cc1)Cl)Nc2ccc(c(c2)Cl)Cl,Training,0,0,98,0.776346361,41.13,80.5554,2.006424902,599.3373665,315.587,5.2908
61,101-25-7,O=NN1CN2CN(N=O)CN(C1)C2,Training,1,1,72,0.534618605,71.82,43.281,2.004728924,189.0701508,186.175,-0.6281
62,10125-76-5,O=Nc1ccc(cc1)c2ccccc2,Training,1,1,68,0.651693803,29.43,57.333,2.38755304,419.8345342,183.21,3.7515
63,101-26-8,O=C(Oc1ccc[n+](c1)C)N(C)C,Training,0,0,70,0.593415276,33.42,47.329,2.69278516,310.2379408,181.215,0.5715
64,101328-75-0,c2cc1c3c(cn1CCCCC)CC4N(C)CC(=CC4(c3(c2)))C,Training,1,1,122,0.585290718,8.17,98.083,1.798004912,752.5324966,308.469,4.7315
65,101328-96-5,O=C1C=CC(=O)C1(Cl)Cl,Training,1,0,48,0.393762872,34.14,33.591,3.022368876,185.0035345,164.975,0.8683
66,101-39-3,O=CC(=Cc1ccccc1)C,Training,0,0,56,0.461833184,17.07,46.157,2.871711891,259.4610831,146.189,2.2888
67,10147-37-2,O=S(=O)(C(C)C)Cl,Training,1,1,44,0.511512286,34.14,29.9088,4.104668622,135.013897,142.607,0.9634
68,101489-25-2,O=C1c5c(O)ccc(OC)c5(Oc3c1c(OC)cc2OC4OCCC4(c23)),Training,0,0,134,0.706497502,87.36,92.4848,1.985336594,1114.747075,356.33,2.8914
69,101489-26-3,O=C1c5c(O)cccc5(Oc2cc3OC4OCCC4(c3(c(O)c12))),Training,0,0,116,0.62020645,89.13,81.0456,1.933573662,1034.843519,312.277,2.5798
70,101-54-2,Nc1ccc(cc1)Nc2ccccc2,Training,0,0,70,0.703915982,38.05,60.5791,2.155110851,392.4267229,184.242,3.0124
71,10159-46-3,O=P(NC)(N(C)C)N(C)C,Training,1,0,62,0.615284204,35.58,44.0402,4.404142339,133.8284896,165.177,0.4371
72,10159-53-2,O=P(O)(N)N(CCCl)CCCl,Training,1,1,68,0.532426749,66.56,47.0257,3.98784198,145.0274844,221.024,0.8251
73,101-59-7,O=[N+]([O-])c1ccc(cc1)Sc2ccc(N)cc2,Training,1,1,86,0.512058565,69.16,68.0738,2.133752158,523.2068217,246.291,3.3282
74,101-61-1,c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C,Training,1,1,100,0.824724349,6.48,84.344,2.078594473,460.4632579,254.377,3.4094
75,10161-33-8,O=C4C=C2C(=C1C=CC3(C)(C(O)CCC3(C1CC2)))CC4,Training,0,0,106,0.732818842,37.3,78.0518,1.816735779,565.9672968,270.372,3.3293
76,101-67-7,c1cc(ccc1Nc2ccc(cc2)CCCCCCCC)CCCCCCCC,Training,0,0,160,0.280122804,12.03,130.3267,1.658353936,568.8683269,393.659,9.2362
77,101688-02-2,O=[N+]([O-])c2oc3ccc1cc(ccc1c3(c2))N(CCCl)CCCl,Training,1,1,120,0.363572649,59.52,94.0274,2.093633705,857.0242506,353.205,4.7782
78,101-70-2,O(c1ccc(cc1)Nc2ccc(OC)cc2)C,Training,0,0,88,0.870617009,30.49,69.2707,2.077978452,417.0858125,229.279,3.4474
79,101-72-4,c1ccc(cc1)Nc2ccc(cc2)NC(C)C,Training,0,1,88,0.813970172,24.06,74.9254,2.033638179,446.1078528,226.323,4.2505
80,101-73-5,O(c1ccc(cc1)Nc2ccccc2)C(C)C,Training,0,0,88,0.844055541,21.26,71.9307,2.033638179,448.1078528,227.307,4.2174
81,101-77-9,Nc1ccc(cc1)Cc2ccc(N)cc2,Training,1,1,76,0.728077962,52.04,64.5148,2.146711376,385.5980617,198.269,2.4418
82,101-80-4,O(c1ccc(N)cc1)c2ccc(N)cc2,Training,1,1,76,0.732387446,61.27,61.7828,2.146711376,390.684228,200.241,2.6433
83,101821-43-6,N=C(N)c1ccc2c(N)c([nH]c2(c1))C(=N)N,Training,0,0,82,0.317626555,141.55,64.7433,2.717560503,594.6202161,216.248,0.31824
84,101821-44-7,N=C(N)c1cc2ccc(cc2([nH]1))Br,Training,0,0,66,0.517134833,65.66,57.0148,2.684752459,472.6645918,238.088,2.21447
85,101-83-7,N(C1CCCCC1)C2CCCCC2,Training,0,0,76,0.689324136,12.03,56.8817,1.687214119,116.0599029,181.323,3.2414
86,101-84-8,O(c1ccccc1)c2ccccc2,Training,0,1,64,0.670036385,9.23,52.958,2.161475751,315.8986487,170.211,3.4789
87,101901-08-0,O=C(O)CC2(OCCc1c3cccc(c3([nH]c12))C(O)C)CC,Training,0,0,118,0.810804568,82.55,82.8103,2.246811782,718.7623916,303.358,2.8739
88,101910-34-3,O=C(O)C2N(C(=O)CCS(=O)C)C(c1ccccc1(O))SC2,Training,0,0,120,0.833772858,94.91,85.126,2.285469636,606.6509225,343.426,1.188
89,102000-59-9,O=C(O)c1c(N)cccc1(N),Training,1,0,58,0.512390392,89.34,42.2261,3.318913173,276.2420898,152.153,0.5492
90,102-01-2,O=C(Nc1ccccc1)CC(=O)C,Training,0,0,68,0.712667277,46.17,50.3697,2.504454987,305.9606013,177.203,1.6042
91,102029-81-2,O=C(O)C(N)C,Training,0,0,36,0.451352188,63.32,21.2852,3.257586161,59.81353753,89.094,-0.5818
92,102059-18-7,O=C(C=Cc1ccc(cc1)NC(=O)C)c2ccccc2,Training,1,0,100,0.678546993,46.17,80.5522,2.043467261,627.799397,265.312,3.5411
93,102-06-7,N=C(Nc1ccccc1)Nc2ccccc2,Training,1,0,80,0.52759934,47.91,67.8561,1.952194148,407.6186271,211.268,3.14537
94,102-07-8,O=C(Nc1ccccc1)Nc2ccccc2,Training,0,0,80,0.787195187,41.13,65.5254,1.952194148,410.3735146,212.252,3.3306
95,102-08-9,c1ccc(cc1)NC(Nc2ccccc2)=S,Training,0,1,80,0.769283107,24.06,72.7274,1.952194148,410.3735146,228.32,3.4955
96,102-13-6,O=C(OCC(C)C)Cc1ccccc1,Training,0,0,76,0.684736249,26.3,55.943,2.345166078,277.6330203,192.258,2.4283
97,102-16-9,O=C(OCc1ccccc1)Cc2ccccc2,Training,0,1,86,0.749067305,26.3,66.384,1.825663184,462.7951975,226.275,2.9725
98,102234-07-1,O=C1NC3(C(=O)N1CCN2CC2)(CCCCC3),Training,1,1,94,0.576091242,52.42,62.5007,1.678682158,345.659904,237.303,0.5567
99,10227-50-6,O=C1NCCN1c2nccs2,Training,1,1,58,0.67129869,45.23,42.8587,2.228732842,258.8009288,169.209,0.6727
100,10228-40-7,O=C1c3cc(O)c(O)c(O)c3(C(=O)c2c(O)cc(cc12)C),Training,0,1,106,0.466445828,115.06,71.1452,2.415025885,834.7879788,286.239,1.59282
101,102-32-9,O=C(O)Cc1ccc(O)c(O)c1,Training,1,1,64,0.568512288,77.76,41.1114,2.892758475,305.926212,168.148,0.7249
102,102408-25-3,n1cccc3c1ccc2nc(N)n(c23)C,Training,1,1,74,0.597808845,56.73,60.4274,2.632878754,654.0413934,198.229,1.7037
103,102408-26-4,n1cccc3c1ccc2c3(nc(NC)n2C),Training,1,1,80,0.671820501,42.74,65.5617,2.511661333,669.1411556,212.256,2.1632
104,102408-27-5,n1cccc3c1ccc2c3(nc(n2C)N(C)C),Training,1,1,86,0.637508727,33.95,70.342,2.4695787,697.0234901,226.283,2.1875
105,1024-41-5,O=S(=O)(OCc1ccccc1)c2ccc(cc2)C,Training,0,0,94,0.795665718,43.37,69.5958,2.106185667,601.2471807,262.33,2.90052
106,102-50-1,O(c1ccc(N)c(c1)C)C,Training,1,1,54,0.596336025,35.25,42.1434,3.043618059,232.6992424,137.182,1.58582
107,1025-15-6,O=C1N(C(=O)N(C(=O)N1CC=C)CC=C)CC=C,Training,0,0,96,0.651764368,66,69.813,3.742796483,525.2206142,249.27,-0.2703
108,102-60-3,OC(C)CN(CCN(CC(O)C)CC(O)C)CC(O)C,Training,0,0,122,0.395300844,87.4,79.6032,4.348925842,191.213793,292.42,-0.8864
109,10264-12-7,O=C(NCc1ccccc1)CC,Training,0,0,64,0.721751047,29.1,48.5797,2.384535863,243.275309,163.22,1.7128
110,102694-32-6,O=C1C=CC6(O)(c2c(ccc(O)c12)c4ccc(O)c5C(=O)C3OC3C6(c45)),Training,1,1,128,0.62645784,107.36,88.3074,1.820713473,1113.769872,348.31,1.7658
111,102-70-5,C=CCN(CC=C)CC=C,Training,0,0,56,0.504881503,3.24,47.031,3.576187607,92.12223629,137.226,1.8464
112,102-71-6,OCCN(CCO)CCO,Training,0,0,62,0.419530358,63.93,37.6974,3.295082116,55.74860596,149.19,-1.7347
113,102-77-2,n2c1ccccc1sc2SN3CCOCC3,Training,0,0,84,0.767283225,25.36,67.869,1.777897117,446.5442277,252.364,2.6356
114,102791-32-2,O=C1C(=O)c4c3c(ccc2cccc1c23)ccc4[N+](=O)[O-],Training,1,1,100,0.231785692,77.28,80.5264,2.531061677,1150.12034,277.235,2.6504
115,102791-33-3,O=C1Oc3ccc(c4ccc2cccc1c2c34)[N+](=O)[O-],Training,1,1,96,0.228519404,73.35,75.3364,2.429173852,1048.232447,265.224,3.4454
116,102791-34-4,O=C1Oc4c(ccc3ccc2cccc1c2c34)[N+](=O)[O-],Training,1,1,96,0.228519404,73.35,75.3364,2.447328886,1048.232447,265.224,3.4454
117,102-81-8,OCCN(CCCC)CCCC,Training,0,0,74,0.605582591,23.47,53.3418,3.396054517,77.90776467,173.3,1.8809
118,102822-04-8,O=C1C(=O)c3ccc(c4ccc2cccc1c2c34)[N+](=O)[O-],Training,1,1,100,0.231785692,77.28,80.5264,2.495989717,1150.12034,277.235,2.6504
119,102-82-9,N(CCCC)(CCCC)CCCC,Training,0,0,80,0.529354239,3.24,61.164,3.467990238,72.10571634,185.355,3.6887
120,10285-07-1,O=C(OCC1=CCN2CCC(O)C12)C(O)(C(O)C)C(C)C,Training,0,0,120,0.475761528,90.23,76.4954,1.9814996,423.7799141,299.367,-0.3273
121,102859-52-9,O=[N+]([O-])C5=Cc1ccc2ccc3cccc4cc5(c1c2c34),Training,1,1,98,0.28659415,43.14,85.0114,2.143590248,1108.564553,271.275,4.6722
122,102873-32-5,O=[N+]([O-])c1cccc(c1)c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-],Training,1,1,106,0.627506778,129.42,71.8412,2.62856486,758.4080255,289.203,3.0782
123,102877-14-5,n1c3cccc(N)c3(nc2c1cccc2(N)),Training,0,1,78,0.438819674,77.82,65.8688,2.546234125,633.9788966,210.24,1.9474
124,102-96-5,O=[N+]([O-])C=Cc1ccccc1,Training,1,1,56,0.475959918,43.14,42.4704,2.721773554,266.6803641,149.149,1.934
125,1030-27-9,O=C(C=Cc1ccc(cc1)N(C)C)c2ccccc2,Training,0,0,96,0.610399795,20.31,80.5755,2.083872762,567.9708771,251.329,3.6487
126,103088-83-1,O=C3C=Cc2ccc1c4ccccc4(ccc1c2C3(=O)),Training,1,0,94,0.454083688,34.14,79.8255,2.207579032,932.7045319,258.276,3.7716
127,10312-83-1,O=CCOC,Training,1,0,30,0.424988707,26.3,17.94,2.401715223,26.07403392,74.079,-0.1683
128,103139-94-2,n1cc(nc3c1c(cc2c3(nc(N)n2C))C)C,Training,1,1,86,0.634443914,69.62,67.6964,2.61729597,741.5606544,227.271,1.71554
129,103-17-3,c1cc(ccc1CSc2ccc(cc2)Cl)Cl,Training,0,0,82,0.682409127,0,72.465,1.966014635,402.8637396,269.196,5.2857
130,10318-26-0,OC(CBr)C(O)C(O)C(O)CBr,Training,1,0,74,0.502431703,80.92,51.6152,3.985164451,110.1157128,307.966,-0.7802
131,103-30-0,c1ccc(cc1)C=Cc2ccccc2,Training,0,1,68,0.615524365,0,61.812,2.159341418,357.0681483,180.25,3.857
132,103-33-3,N(=Nc1ccccc1)c2ccccc2,Training,1,1,68,0.624436588,24.72,57.06,2.159341418,365.3515672,182.226,4.102
133,103-34-4,O1CCN(CC1)SSN2CCOCC2,Training,0,1,82,0.532355174,24.94,59.966,1.598659457,143.420269,236.362,0.8622
134,10335-79-2,O=C(NO)c1ccc2ccccc2(c1),Training,1,1,70,0.529256279,49.33,53.2007,2.564316975,479.4261554,187.198,1.9588
135,103369-09-1,O=C(OCNC(=O)c1ccc(cc1)Cl)C,Training,0,0,80,0.630326981,55.4,55.5512,2.467685555,361.4351797,227.647,1.5904
136,103393-70-0,c1ccc2c(c1)c4cccc3cc(cc2c34)CCl,Training,1,1,86,0.406120916,0,77.935,2.223610436,771.6621453,250.728,5.226
137,103393-71-1,c2cc1cccc4c1c(c2)c3cccc(c34)CCl,Training,1,1,86,0.406120916,0,77.935,2.242019633,766.4121453,250.728,5.226
138,103393-72-2,c1cc2cccc3c4cc(ccc4(c(c1)c23))CCl,Training,1,1,86,0.406120916,0,77.935,2.168742809,766.4121453,250.728,5.226
139,103395-25-1,c1ccc2c(c1)c4cccc3ccc(c2c34)CCl,Training,1,1,86,0.406120916,0,77.935,2.272656602,771.6621453,250.728,5.226
140,1034-41-9,OC1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,Training,0,0,118,0.496984221,20.23,89.1158,2.059048934,592.7495656,492.655,4.41
141,103-50-4,O(Cc1ccccc1)Cc2ccccc2,Training,0,1,76,0.73120069,9.23,61.377,1.809580758,341.098159,198.265,3.4034
142,10353-53-4,O1CC1CCC=C,Training,1,0,40,0.383194915,12.53,29.171,1.881099126,64.58027135,98.145,1.3514
143,10353-98-7,O=[N+]([O-])c3ccc2cccc1C=Cc3(c12),Training,1,1,72,0.443643457,43.14,59.5304,2.499040462,614.2933833,197.193,3.2318
144,10353-99-8,O=[N+]([O-])c3ccc2C=Cc1cccc3(c12),Training,1,1,72,0.443643457,43.14,59.5304,2.515213033,602.0433833,197.193,3.2318
145,103630-35-9,O=C2C(=CC1C(C(=C)CCC1(C(=C)C))C=3C(=O)C(O)(C)CC2=3)C,Training,0,0,122,0.755797486,54.37,89.6958,2.21196836,702.3984308,312.409,3.3105
146,103667-52-3,O=C2C(=CC1C(C(=C)CCC1(C(=C)C))C=3C(=O)C(C)CC2=3)C,Training,0,0,116,0.679713799,34.14,88.236,2.194587397,659.1947291,296.41,4.1956
147,103-69-5,c1ccc(cc1)NCC,Training,0,0,48,0.631561834,12.03,40.6057,2.61489994,157.4784208,121.183,2.1184
148,103-70-8,O=CNc1ccccc1,Training,0,0,46,0.586075245,29.1,36.1287,2.719528533,183.367456,121.139,1.2549
149,10373-78-1,O=C1C(=O)C2(C)(CCC1C2(C)(C)),Training,0,0,66,0.511884851,34.14,44.626,2.577440865,277.5631668,166.22,1.5807
150,103748-25-0,n1c(N)n(c2ccc(cc12)Cl)C,Training,1,0,62,0.673856775,43.84,50.1364,2.868172587,433.0407478,181.626,1.8089
151,103-76-4,OCCN1CCNCC1,Training,0,0,54,0.497023501,35.5,36.3955,2.077860755,68.7032244,130.191,-1.1161
152,103-80-0,O=C(Cc1ccccc1)Cl,Training,1,1,52,0.595871974,17.07,41.006,2.674241602,217.9590175,154.596,1.9945
153,103-83-3,c1ccc(cc1)CN(C)C,Training,0,0,54,0.596821422,3.24,43.833,2.587287185,179.1795714,135.21,1.7482
154,103-84-4,O=C(Nc1ccccc1)C,Training,0,1,52,0.622799475,29.1,40.7457,2.674241602,217.9590175,135.166,1.645
155,103-85-5,NC(Nc1ccccc1)=S,Training,0,1,52,0.596318825,38.05,46.8501,2.674241602,220.307533,152.222,1.3421
156,10387-13-0,c1ccc3c(c1)c(c2ccccc2c3CCl)CCl,Training,1,1,90,0.429400634,0,80.568,2.609180281,597.6907677,275.178,5.4706
157,103878-84-8,O=C(NCCN)c1ncc(cc1)Cl,Training,0,0,70,0.741785647,68.01,50.6346,2.611171251,285.9455428,199.641,0.4235
158,103-89-9,O=C(Nc1ccc(cc1)C)C,Training,1,0,58,0.649285896,29.1,45.4827,2.736298072,250.7701726,149.193,1.95342
159,103-90-2,O=C(Nc1ccc(O)cc1)C,Training,0,0,58,0.595026197,49.33,42.4105,2.736298072,253.2994976,151.165,1.3506
160,103942-97-8,O=C(NCCN(C)C)c2cccc1nc3ccccc3(nc12),Training,1,1,112,0.748469607,58.12,87.9312,1.983065632,829.1214179,294.358,2.0744
161,103946-55-0,O(CC1CCC2OC2(C1))CC3CCC4OC4(C3),Training,1,0,96,0.703684745,34.29,62.823,1.153872322,265.1919096,238.327,2.138
162,10396-63-1,O=[N+]([O-])c1ccc(cc1)NC2OCC(O)C(O)C2(O),Training,0,1,104,0.428477366,125.09,64.4795,2.025029694,451.0035618,270.241,-0.5543
163,10396-68-6,O=C(O)c1ccc(cc1)NC2OCC(O)C(O)C2(O),Training,0,1,104,0.488807926,119.25,64.7844,2.025029694,448.0377596,269.253,-0.7643
164,103978-08-1,O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))c3ccc(O)cc3)CC,Training,1,0,128,0.762714297,79.53,87.8581,2.443447579,1055.589619,345.301,3.3704
165,104-03-0,O=C(O)Cc1ccc(cc1)[N+](=O)[O-],Training,1,1,68,0.561114046,80.44,44.4362,2.809454194,330.5021927,181.147,1.2219
166,104-04-1,O=C(Nc1ccc(cc1)[N+](=O)[O-])C,Training,0,1,68,0.553944982,72.24,47.4001,2.809454194,331.7473052,180.163,1.5532
167,104145-44-0,O=C(OC)c4nc(c1nc2C(=O)C=CC(=O)c2(cc1))c5[nH]c3ccccc3c5(c4),Training,1,1,140,0.531688888,102.01,105.9712,1.827812902,1398.224499,383.363,3.4999
168,104226-21-3,OCCN(c2ccc(N=Nc1ccc(N)cc1)c(c2)C)CCO,Training,0,0,122,0.540800457,94.44,92.594,2.162150236,650.1429851,314.389,2.78362
169,104-28-9,O=C(OCCOCC)C=Cc1ccc(OC)cc1,Training,0,0,98,0.422914505,44.76,69.48,2.352027385,381.2853944,250.294,2.2881
170,104-40-5,Oc1ccc(cc1)CCCCCCCCC,Training,0,0,90,0.630298106,20.23,69.8038,2.005636511,263.2683698,220.356,4.6853
171,10443-65-9,O=C(O)C(=C)Br,Training,0,1,34,0.566727594,37.3,25.7028,3.567703455,74.79398752,150.959,0.9796
172,104-46-1,O(c1ccc(cc1)C=CC)C,Training,0,0,58,0.626215555,9.23,47.702,2.824041735,233.5546193,148.205,2.7283
